Track Name,Artist,Album,Popularity,Duration (min),Added Date
It's ok I'm ok,Tate McRae,It's ok I'm ok,73,2.61,9/21/2024
Better Break My Heart,Rhys Frank,Better Break My Heart,24,2.82,9/20/2024
Electric (feat. Khalid),Alina Baraz & Khalid,The Color Of You,67,4.11,9/19/2024
Not My Fault (with Megan Thee Stallion),Reneé Rapp & Megan Thee Stallion,Mean Girls (Music From The Motion Picture),66,2.84,9/17/2024
DIE FOR ME,Chase Atlantic,DIE FOR ME,63,3.45,9/17/2024
Up At Night,Stephen Dawes,Up At Night,46,2.71,9/15/2024
Freakin' Out On the Interstate,Briston Maroney,Freakin' Out On The Interstate (Acoustic Version [Live]),69,4.2,9/11/2024
Sit Next to Me,Foster The People,Sacred Hearts Club,74,4.05,9/11/2024
my future,Billie Eilish,Happier Than Ever,70,3.5,9/8/2024
NIGHTS LIKE THIS PT 2,The Kid LAROI,THE FIRST TIME (DELUXE VERSION),64,2.77,9/8/2024
misses,Dominic Fike,14 minutes,74,1.24,9/8/2024
